file_path	decision	rules		
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16FHQ6.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16FHQ6\NSS-2016-16FHQ6\rouge1selvimisest.diversitybusinessexchange.com\forums\search.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16FHQF.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16FHQF\NSS-2016-16FHQF\rouge1selvimisest.diversitybusinessexchange.com\forums\viewforum.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16FHSN.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16FHSN\NSS-2016-16FHSN\rouge1selvimisest.diversitybusinessexchange.com\civis\index.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16FHST.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16FHST\NSS-2016-16FHST\rouge1selvimisest.diversitybusinessexchange.com\civis\index.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16FHTM.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16FHTM\NSS-2016-16FHTM\rouge1selvimisest.diversitybusinessexchange.com\forums\index.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16FHV7.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16FHV7\NSS-2016-16FHV7\rouge1selvimisest.diversitybusinessexchange.com\forums\search.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16FHVT.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16FHVT\NSS-2016-16FHVT\rouge1selvimisest.diversitybusinessexchange.com\civis\viewtopic.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16FHXN.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16FHXN\NSS-2016-16FHXN\rouge1selvimisest.diversitybusinessexchange.com\boards\index.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16FJR3.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16FJR3\NSS-2016-16FJR3\denichionsschwelend.diversitysupplierexchange.com\boards\index.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16FPMY.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16FPMY\NSS-2016-16FPMY\bastardgemsbok.diversitysuppliersexchange.com\civis\viewforum.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16FSLD.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16FSLD\NSS-2016-16FSLD\revisetis.lancesherman.com\forums\search.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16FSNW.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16FSNW\NSS-2016-16FSNW\revisetis.lancesherman.com\boards\index.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16FTN9.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16FTN9\NSS-2016-16FTN9\ttconverterfurnishers.letlooseinvegas.com\civis\index.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16FV8X.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16FV8X\NSS-2016-16FV8X\grundfrabridgehampton.coloradokushclub.com\boards\search.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16FYZD.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16FYZD\NSS-2016-16FYZD\externiz.flash-funding.com\boards\index.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16G04S.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16G04S\NSS-2016-16G04S\eingestehendesageven.lgbtdiversitysuppliers.com\boards\viewforum.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16G2HC.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16G2HC\NSS-2016-16G2HC\lancharesrhymewis.blaylockwedding.com\forums\viewforum.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16G2MV.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16G2MV\NSS-2016-16G2MV\lancharesrhymewis.blaylockwedding.com\civis\search.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16G2ZK.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16G2ZK\NSS-2016-16G2ZK\lancharesrhymewis.blaylockwedding.com\boards\index.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16G37D.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16G37D\NSS-2016-16G37D\lancharesrhymewis.blaylockwedding.com\forums\viewforum.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16G388.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16G388\NSS-2016-16G388\lancharesrhymewis.blaylockwedding.com\civis\viewforum.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16K7DP.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16K7DP\NSS-2016-16K7DP\abbaiaroforfiet.pennantcapital.in\civis\viewtopic.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16LQ17.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16LQ17\NSS-2016-16LQ17\undersatndschexnayder.aspirateurbeloin.com\boards\viewtopic.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
C:\Users\michael_du\Desktop\for_michael\NSS-2016-16MB0M.saz	TRUE	c:\users\michae~1\appdata\local\temp\NSS-2016-16MB0M\NSS-2016-16MB0M\monavillebootsfah.myrogersrewards.com\forums\viewforum.php	malicious	JS.SIG.UnescapeParamTooLong.A;JS.HEU.LikeAnglerEK.A;VBS.SPEC.CVE-2014-6332.B;JS.SIG.CheckAV.I;
